word	bank	sentiment
금액	b_salad	pos
저장	b_salad	pos
정리	b_salad	pos
자동	b_salad	pos
항목	b_salad	pos
기능	b_salad	pos
반영	b_salad	pos
이번	b_salad	pos
카드	b_salad	pos
최고	b_salad	pos
채권	b_salad	pos
가계부	b_salad	pos
예산	b_salad	pos
카테고리	b_salad	pos
내역	b_salad	pos
부분	b_salad	pos
추가	b_salad	pos
투자	b_salad	pos
방법	b_salad	pos
연동	b_salad	pos
생각	b_salad	pos
등록	b_salad	pos
편리	b_salad	pos
가능	b_salad	pos
연금	b_salad	pos
감사	b_salad	pos
은행	b_salad	pos
수입	b_salad	pos
겉절이	b_salad	pos
뱅크	b_salad	pos
삭제	b_salad	pos
부탁	b_salad	pos
개선	b_salad	pos
사용	b_salad	pos
샐러드	b_salad	pos
계좌	b_salad	pos
가지	b_salad	pos
관리	b_salad	pos
표시	b_salad	pos
확인	b_salad	pos
최근	b_salad	pos
자산	b_salad	pos
수정	b_salad	pos
업데이트	b_salad	pos
지출	b_salad	pos
분석	b_salad	pos
연결	b_salad	pos
입력	b_salad	pos
변경	b_salad	pos
설정	b_salad	pos
불편	b_salad	pos
정보	b_salad	pos
결제	b_salad	pos
저축	b_salad	pos
