word	bank	sentiment
하나	hana	neg
방법	hana	neg
자동	hana	neg
업데이트	hana	neg
인증서	hana	neg
이거	hana	neg
등록	hana	neg
이용	hana	neg
주민	hana	neg
다운로드	hana	neg
선택	hana	neg
가입	hana	neg
원격	hana	neg
개조	hana	neg
이체	hana	neg
통장	hana	neg
실패	hana	neg
이후	hana	neg
비밀	hana	neg
불편	hana	neg
오류	hana	neg
개설	hana	neg
발급	hana	neg
사람	hana	neg
불가	hana	neg
광고	hana	neg
개선	hana	neg
최근	hana	neg
로그인	hana	neg
로그아웃	hana	neg
계좌	hana	neg
내역	hana	neg
업무	hana	neg
에러	hana	neg
시간	hana	neg
실행	hana	neg
오픈	hana	neg
인식	hana	neg
정보	hana	neg
문제	hana	neg
은행	hana	neg
최악	hana	neg
서비스	hana	neg
거래	hana	neg
대출	hana	neg
가능	hana	neg
증서	hana	neg
인증	hana	neg
초기	hana	neg
뱅킹	hana	neg
삭제	hana	neg
처음	hana	neg
해결	hana	neg
기능	hana	neg
필요	hana	neg
무한	hana	neg
신분증	hana	neg
때문	hana	neg
이상	hana	neg
접속	hana	neg
사용	hana	neg
설치	hana	neg
쓰레기	hana	neg
내용	hana	neg
금융	hana	neg
제어	hana	neg
설정	hana	neg
건지	hana	neg
입력	hana	neg
수정	hana	neg
자체	hana	neg
화면	hana	neg
확인	hana	neg
종료	hana	neg
변경	hana	neg
지문	hana	neg
정상	hana	neg
로딩	hana	neg
번호	hana	neg
강제	hana	neg
시작	hana	neg
짜증	hana	neg
건가요	hana	neg
