word	bank	sentiment
하나	kb	neg
은행	kb	neg
광고	kb	neg
업데이트	kb	neg
거래	kb	neg
사용	kb	neg
설치	kb	neg
촬영	kb	neg
로그인	kb	neg
증서	kb	neg
인증서	kb	neg
인증	kb	neg
등록	kb	neg
스타	kb	neg
계좌	kb	neg
뱅킹	kb	neg
삭제	kb	neg
설정	kb	neg
연결	kb	neg
가입	kb	neg
입력	kb	neg
연동	kb	neg
수정	kb	neg
걸음	kb	neg
해결	kb	neg
지갑	kb	neg
결제	kb	neg
화면	kb	neg
확인	kb	neg
실행	kb	neg
측정	kb	neg
구글	kb	neg
이체	kb	neg
카드	kb	neg
회원	kb	neg
국민은행	kb	neg
신분증	kb	neg
인식	kb	neg
지문	kb	neg
입출금	kb	neg
동의	kb	neg
비밀	kb	neg
불편	kb	neg
오류	kb	neg
로딩	kb	neg
정보	kb	neg
접속	kb	neg
하루	kb	neg
번호	kb	neg
발급	kb	neg
